Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
HUTT_1,Hutton,R6,R,196.053,65.478,51.31236339,0.16,26.791,3.756,5.61,0.853,0,0,-4.994
IMPK_1,Imperial Park,H6,H,16.41,1.669,0.16393925,0,0,0,0,0,0,0,-0.346
INDQ1,Indian Queens,F6,F,443.948,66.865,33.73569734,30.804,404.643,98.127,0.708,85.376,0,0,-9.036
INKE,Inverkeithing,S5,S,35.553,-1.031,-2.827790972,0.027,3.299,1.626,0,0,0,0,-0.706
INNE_P,Inverness,T1,T,62.86,-0.669,-4.029569888,0.037,4.567,0.628,9.712,1.454,0,0,-1.269
IROA1,Iron Acton,G5,G,617.763,76.815,0.068565089,16.324,191.657,16.009,0.097,98.723,0,0,-13.254
IRONB1,Ironbridge,L5,L,226.447,27.132,5.956729284,3.805,61.155,0.583,0,53.795,0,0,-4.72
ISLI_1,Islington,A7,A,310.3664,36.213,36.213,0,0,0,0,0,0,0,0
IVER_1,Iver 132kV,A6,A,313.758,40.782,-20.57486234,3.76,16.083,0.005,0.36,6.386,0,0,-6.908
IVER_6,Iver 66kV,A6,A,155.017,13.532,-10.35255048,0.034,4.254,4.755,0,51.674,0,0,-2.84
JOHN,Johnstone,S6,S,41.317,2.311,1.367183544,0.019,2.315,1.697,0,0.001,0,0,-0.887
JORD_3,Jordanthorpe,P3,P,46.619,-2.992,-5.873900227,0.025,3.044,0.02,0,0.001,0,0,-0.776
KAIM,Kaimes,S6,S,90.085,7.385,0.735590829,0.078,11.975,31.042,0.475,3.7,0,0,-1.968
KEAD_1,Keadby,P8,P,309.64,16.676,-20.7454246,0.452,142.018,134.922,0,195.982,0,0,-6.677
KEAR_1,Kearsley 132kV,N4,N,545.223,94.143,17.09817911,19.343,43.753,0.533,0.203,75.085,0,0,-10.567
KEAR_3,Kearsley 33kV,N4,N,97.264,5.941,2.942441587,0,10.71,0,0,22.3,0,0,-2.155
KEIT_P,Keith,T1,T,42.4892081,5.21,5.067863604,0.041,5.079,38.513,2.881,10.719,0,0,-1.328
KEMS_1,Kemsley,C3,C,140.921,30.572,6.304407053,0.085,66.795,24.208,0,43.094,0,0,-2.849
KEOO,Kendoon,S6,S,0,0.002,-7.55265E-05,0,0,0,40.2,0,0,0,0
KIER,Killermont,S5,S,54.581,6.226,-0.604102533,0.02,2.484,0.012,0,6.728,0,0,-1.025
KIIN_P,Killin,T4,T,4.045,8.473,6.381858402,0.003,0.422,0.013,9.867,10.66,0,0,-0.108
KILS,Kilmarnock South,S6,S,35.617,-0.633,-2.81662118,0.023,2.822,15.575,0,1.8,0,0,-0.854
KILT,Kilmarnock Town,S6,S,57.929,7.037,3.014546394,0.024,3.014,10.244,0.003,5.842,0,0,-1.527
KILW,Kilwinning,S6,S,35.937,5.087,-0.676387961,0.022,2.693,10.017,0,22,0,0,-0.788
KINO_1,Kingsnorth,C2,C,204.982,-24.566,-65.97702768,0.096,16.843,0.07,0,38.849,0,0,-4.068
KINL_P,Kinlochleven,T1,T,6.251,7.477,5.345280017,0.001,0.112,0,1.9,0,0,0,-0.179
KINT_P,Kintore,T2,T,61.9156192,5.644,5.061323895,0.09,12.922,6.571,0,0.078,0,0,-1.767
KIBY_1,Kirkby (_D),N1,N,227.53,17.435,-31.06689976,0.114,16.09,1.102,0,2.634,0,0,-4.962
KIBY_G,Kirkby (_G),N1,N,40.764,2.681,-5.608112533,0.106,13.085,0.023,0,0.856,0,0,-0.793
KIRKB1,Kirkstall B,P1,P,240.935,25.045,-0.528406661,0.096,11.947,2.533,0,18.604,0,0,-5.524
KITW_1,Kitwell,L2,L,363.268,81.11,-93.20502613,0.127,15.753,0,0,8.38,0,0,-5.998
KNAR,Knaresborough,P2,P,175.372,35.582,35.582,0.096,56.587,15.33,0.387,60.221,0,0,-3.931
LACK_6,Lackenby,Q2,Q,188.598,12.088,-22.292,6.12,19.919,64.857,0,24.982,0,0,-3.503
LAIR_P,Lairg,T5,T,3.816,-0.368,-2.524383198,0.005,0.591,5.822,5.759,0,0,0,-0.107
